Question,Value for Option A,Value for Option B,Value for Option C,Value for Option D,Correct Option
Une entreprise a récemment installé Windows Server 2016 et souhaite configurer un contrôleur de domaine. Quelle est la première étape pour promouvoir un serveur en tant que contrôleur de domaine ?,Créer un groupe de travail.,Installer le rôle Active Directory Domain Services.,Configurer les services de fichiers et de stockage.,Configurer les paramètres de sécurité locaux.,B
Un administrateur doit créer un groupe de sécurité pour permettre aux utilisateurs du service financier d'accéder à un dossier partagé. Quelle est la meilleure pratique à suivre ?,Ajouter chaque utilisateur individuellement à la liste de contrôle d'accès du dossier.,Créer un groupe de distribution.,Créer un groupe de sécurité et ajouter les utilisateurs au groupe.,Configurer des permissions explicites pour chaque utilisateur.,C
Une entreprise utilise Windows Server 2016 et doit configurer des quotas de disque pour limiter l'espace utilisé par chaque utilisateur sur un volume spécifique. Quelle fonctionnalité doit-elle utiliser ?,File Server Resource Manager (FSRM).,Gestionnaire de périphériques.,Gestionnaire des tâches.,Service de rôle Hyper-V.,A
Un administrateur doit configurer une politique de groupe pour empêcher l'installation de logiciels non autorisés. Quelle politique de groupe devrait-il configurer ?,Restriction des logiciels.,Stratégie de mot de passe.,Paramètres de journalisation.,Configuration du pare-feu.,A
Un administrateur remarque que certaines mises à jour ne s'installent pas correctement sur Windows Server 2016. Quelle est la première étape de dépannage recommandée ?,Redémarrer le serveur.,Vérifier les journaux d'événements Windows.,Désactiver le pare-feu.,Réinstaller Windows Server 2016.,B
Une entreprise souhaite sécuriser les connexions à distance à son serveur Windows Server 2016 en utilisant un VPN. Quel rôle doit être installé et configuré ?,Hyper-V.,Serveur DHCP.,Serveur DNS.,Remote Access.,D
Un administrateur doit configurer une tâche planifiée pour exécuter un script de sauvegarde tous les soirs à minuit. Quelle console doit-il utiliser ?,Gestionnaire de serveur.,Planificateur de tâches.,Gestionnaire Hyper-V.,Gestionnaire de serveur DNS.,B
Une entreprise utilise Hyper-V sur Windows Server 2016 pour virtualiser ses serveurs. Quel outil permet de gérer les machines virtuelles sur un serveur Hyper-V ?,Gestionnaire Hyper-V.,Gestionnaire de périphériques.,Services de certificats.,PowerShell ISE.,A
Un administrateur doit configurer une stratégie de groupe pour appliquer un fond d'écran d'entreprise sur tous les ordinateurs du domaine. Où doit-il configurer cette stratégie ?,Configuration de l'ordinateur > Modèles d'administration > Bureau > Fond d'écran.,Configuration de l'utilisateur > Modèles d'administration > Panneau de configuration > Affichage.,Configuration de l'ordinateur > Stratégies > Paramètres Windows > Scripts.,Configuration de l'utilisateur > Modèles d'administration > Bureau > Fond d'écran.,D
Une entreprise doit mettre en place une solution de haute disponibilité pour son serveur de base de données SQL sur Windows Server 2016. Quelle technologie devrait-elle utiliser ?,Réplication DFS.,Clustering de basculement.,Hyper-V Replica.,Réplication de stockage.,B
Un administrateur doit réinitialiser le mot de passe d'un utilisateur qui a oublié son mot de passe sur un domaine Windows Server 2016. Quelle est la méthode appropriée pour le faire ?,Utiliser la console de gestion Active Directory Users and Computers.,Modifier directement les fichiers de registre.,Utiliser la gestion des disques.,Modifier les paramètres de sécurité locaux.,A
Une entreprise doit configurer un serveur DHCP sur Windows Server 2016. Quelle information doit-elle définir pour que les clients reçoivent les adresses IP correctement ?,Étendue DHCP.,Zone DNS.,Forêt Active Directory.,Groupe de travail.,A
Un administrateur souhaite limiter l'accès aux fichiers sensibles en fonction des groupes de sécurité Active Directory. Quelle fonctionnalité de Windows Server 2016 devrait-il utiliser ?,Contrôle d'accès dynamique (DAC).,Stratégie de sécurité locale.,Gestion des disques.,Service Broker.,A
"Pour surveiller et analyser les performances de Windows Server 2016, quel outil intégré devrait être utilisé ?",Moniteur de performances.,Visionneuse d'événements.,Gestionnaire de ressources du serveur de fichiers.,Gestionnaire de serveurs.,A
Un administrateur doit déployer des mises à jour de sécurité sur tous les serveurs Windows Server 2016 de l'entreprise. Quelle solution est la plus appropriée ?,Utiliser Windows Server Update Services (WSUS).,Télécharger manuellement les mises à jour et les installer.,Utiliser un logiciel antivirus.,Réinitialiser les serveurs.,A
Une entreprise utilise des machines virtuelles sous Hyper-V et doit effectuer une sauvegarde complète. Quelle méthode de sauvegarde est recommandée pour cette situation ?,Sauvegarde VSS (Volume Shadow Copy Service).,Sauvegarde manuelle des fichiers.,Utilisation de scripts de sauvegarde PowerShell.,Copier les fichiers de machine virtuelle sur un disque externe.,A
Un administrateur doit configurer des accès distants sécurisés à des applications internes de l'entreprise. Quelle solution de Windows Server 2016 peut-il utiliser ?,Remote Desktop Services (RDS).,Services d'impression et de documents.,Services de rôle Hyper-V.,Services de déploiement Windows (WDS).,A
Une entreprise souhaite auditer l'accès aux fichiers sensibles sur son serveur Windows Server 2016. Quelle fonctionnalité doit être activée pour suivre ces accès ?,Audit des objets.,Journal de sécurité.,Rôle Hyper-V.,Sauvegarde planifiée.,A
Un administrateur doit configurer le pare-feu Windows pour autoriser uniquement les connexions RDP depuis un sous-réseau spécifique. Quelle configuration doit-il appliquer ?,Créer une règle entrante avec une portée de sous-réseau spécifiée.,Désactiver le pare-feu Windows.,Configurer une règle sortante.,Activer l'accès complet pour tous les réseaux.,A
Une entreprise doit configurer une tolérance de panne pour son serveur de fichiers principal sous Windows Server 2016. Quelle solution de stockage est la plus adaptée ?,Stockage Spaces Direct.,Partitionnement des disques.,Réplication DFS.,Service Broker.,A
